"","labID","genos","missing"
"1","z0005632",167,18
"2","z0005633",170,15
"3","z0005634",157,28
"4","z0005636",170,15
"5","z0005637",169,16
"6","z0005637b",170,15
"7","z0005638",100,85
"8","z0005639",69,116
"9","z0005640",153,32
"10","z0005641",75,110
"11","z0005642",93,92
"12","z0005643",152,33
"13","z0005644",45,140
"14","z0005646",173,12
"15","z0005648",162,23
"16","z0005650",65,120
"17","z0005650b",22,163
"18","z0005656",145,40
"19","z0005656b",152,33
"20","z0005658",131,54
"21","z0005660",161,24
"22","z0005662",159,26
"23","z0005663",177,8
"24","z0005666",46,139
"25","z0005668",61,124
"26","z0005669",97,88
"27","z0005669b",143,42
"28","z0005670",108,77
"29","z0005674",159,26
"30","z0005688",3,182
"31","z0005691",106,79
"32","z0005692",54,131
"33","z0005693",136,49
"34","z0005694",146,39
"35","z0005694b",160,25
"36","z0005695",3,182
"37","z0005696",174,11
"38","z0005697",116,69
"39","z0005700",169,16
"40","z0005700b",160,25
"41","z0005703",131,54
"42","z0005704",165,20
"43","z0005705",172,13
"44","z0005706",112,73
"45","z0005710",177,8
"46","z0005710b",145,40
"47","z0005717",49,136
"48","z0005718",126,59
"49","z0005719",158,27
"50","z0005721",121,64
"51","z0005722",1,184
"52","z0005723",166,19
"53","z0005724",180,5
"54","z0005725",104,81
"55","z0005726",140,45
"56","z0005727",85,100
"57","z0005729",70,115
"58","z0005730",155,30
"59","z0005731",139,46
"60","z0005731b",114,71
"61","z0005732",114,71
"62","z0005733",50,135
"63","z0005734",149,36
"64","z0005865b",163,22
"65","z0005867b",65,120
"66","z0005868b",3,182
"67","z0005870b",20,165
"68","z0005871",130,55
"69","z0005872b",148,37
"70","z0005876",150,35
"71","z0005877b",34,151
"72","z0005878",129,56
"73","z0005883b",129,56
"74","z0005886b",159,26
"75","z0005887b",1,184
"76","z0005890b",144,41
"77","z0005891",154,31
"78","z0005892",158,27
"79","z0005892b",146,39
"80","z0005893b",20,165
"81","z0005894",17,168
"82","z0012586",3,182
"83","z0026872",171,14
"84","z0026873c",82,103
"85","z0026874",177,8
"86","z0026874b",176,9
"87","z0026875",169,16
"88","z0026876",160,25
"89","z0026877",111,74
"90","z0026878",166,19
"91","z0026879",153,32
"92","z0030265",171,14
"93","z0030265b",159,26
"94","z0030265c",173,12
"95","z0030266",75,110
"96","z0030267",166,19
"97","z0030268",5,180
"98","z0030269",163,22
"99","z0030272",177,8
"100","z0030273",162,23
"101","z0030274",172,13
"102","z0034370",158,27
"103","z0034371",156,29
"104","z0034372",171,14
"105","z0034373",167,18
"106","z0034374",155,30
"107","z0034376",172,13
"108","z0034376b",156,29
"109","z0034377",163,22
"110","z0034378",167,18
"111","z0034379",170,15
"112","z0034379b",163,22
"113","z0034380",160,25
"114","z0034381",146,39
"115","z0037375",146,39
"116","z0038949",173,12
"117","z0038952",176,9
"118","z0038952b",173,12
"119","z0038953",168,17
"120","z0038954",122,63
"121","z0038956",166,19
"122","z0038957",179,6
"123","z0042060",178,7
"124","z0045253",1,184
"125","z0068002",164,21
"126","z0158381",142,43
"127","z0158382",50,135
"128","z0158382b",66,119
"129","z0158384",142,43
"130","z0158386",161,24
"131","z0183558",85,100
"132","z0183559",120,65
"133","z0183560",155,30
"134","z0183561",109,76
"135","z0183562",107,78
"136","z0183563",82,103
"137","z0183564",127,58
"138","z0183565b",38,147
"139","z0183566b",94,91
"140","z0183567",28,157
"141","z0183568",3,182
"142","z0183568b",135,50
"143","z0183570",89,96
"144","z0183570b",101,84
"145","z0183571b",61,124
